Aldo von Wangenhein,UFSC
Alex Vieira,UFJF
Alisson Vasconcelos de Brito,UFPB
Aluizio Araujo,UFPE
Ana Cristina Vendramin,UTFPR
Andre Schneider de Oliveira,UTFPR
Anelise Munaretto,UTFPR
Armando Alves Neto,UFMG
Daniel Fernando Tello Gamarra,UFSM
Danilo Hernani Perico,FEI
David Oliveira Santos,UFCG
Denis Fernando Wolf,ICMC/USP
Diego Nunes Bertolani,IFES
Djamel Sadok,UFPE
Douglas Guimaraes Macharet,UFMG
Edison Pignaton de Freitas,UFRN
Edson Prestes e Silva,UFRGS
Eduardo Todt,UFPR
Eduardo Viegas,PUCPR
Elias Jose de Rezende Freitas,IFMG
Erickson Rangel do Nascimento,UFMG
Esther Luna Colombini,UNICAMP
Felipe Franca,COPPE/UFRJ
Felipe Gomes de Oliveira,UFAM
Filipe Augusto Santos Rocha,UFSJ
Gabriel de Oliveira Ramos,Unisinos
Genaina Rodrigues,UnB
Guilherme Sousa Bastos,UNIFEI
Gustavo Batista,ICMC/USP
Gustavo Pessin,ITV
Hansenclever Bassani,UFPE
Hector Azpurua,UFMG
Joao Alberto Fabro,UTFPR
Joel Luis Carbonera,UFRGS
Jomi Hubner,UFSC
Jorge Luis Victoria Barbosa,Unisinos
Judith Kelner,UFPE
Kalinka Castelo Branco,ICMC/USP
Kelen Vivaldini,UFSCar
Leonardo Amaral Mozelli,UFMG
Leonardo de Lellis Rossi,Unicamp
Luiz Chaimowicz,UFMG
Luiz Marcos Goncalves,UFRN
Marcelo Henrique Souza Bomfim,IFMG
Marco Antonio Costa Simoes,UNEB
Marco Antonio Simoes Teixeira,PUCPR
Marco Aurelio Wehrmeister,UTFPR
Marcos Vieira,UFMG
Mariana Kolberg,UFRGS
Mario Antonio Ribeiro Dantas,UFJF
Mario Fernando Montenegro Campos,UFMG
Milena Faria Pinto,CEFET-RJ
Moises Ribeiro,UFES
Paulo Lilles Jorge Drews Junior,FURG
Paulo Roberto Ferreira Junior,UFPEL
Rafael Kunst,Unisinos
Reinaldo Augusto da Costa Bianchi,FEI
Renan Maffei,UFRGS
Renato Assuncao,UFMG
Roberto Cesar Junior,IME/USP
Roberto Inoue,UFSCar
Rogerio Sales Goncalves,UFU
Roseli Francelin Romero,ICMC/USP
Sarah Pontes Madruga,UFPB
Silvia Costa Botelho,FURG
Silvia Silva da Costa Botelho,FURG
Thales Vieira,UFAL
Thiago Pedro Donadon Homem,IFSP
Tiago Pereira do Nascimento,UFPB
Vinicius Menezes de Oliveira,FURG
