Alan Valejo,UFSCar,CS
Alberto Schaeffer Filho,UFRGS,CS
Aldo von Wangenhein,UFSC,CS
Aldri dos Santos,UFMG,CS
Aleteia de Araujo,UnB,CS
Alex Vieira,UFJF,ROBOTICS
Alexandre Falcao,UNICAMP,CS
Alexandro Baldassin,UNESP,CS
Alisson Vasconcelos de Brito,UFPB,CS
Alneu de Andrade Lopes,ICMC/USP,CS
Aluizio Araujo,UFPE,CS
Ana Carolina Lorena,UNIFESP,CS
Ana Cristina Vendramin,UTFPR,CS
Anderson Maciel,UFRGS,CS
Andre Drummond,UnB,CS
Andre Schneider de Oliveira,UTFPR,CS
Anelise Munaretto,UTFPR,CS
Angelo Brayner,UFC,CS
Antonio Alfredo Ferreira Loureiro,UFMG,CS
Antonio Tadeu Gomes,LNCC,CS
Armando Alves Neto,UFMG,CS
Artur Ziviani,LNCC,CS
Bernardo Pereira Nunes,PUC-Rio,CS
Bianchi Meiguins,UFPA,CS
Breno Miranda,UFPE,CS
Carla Freitas,UFRGS,CS
Carla Rocha,UnB,CS
Carlos Maziero,UFPR,CS
Cesar Comin,UFSCar,CS
Claudio Geyer,UFRGS,CS
Claudio Jung,UFRGS,CS
Cristiano Costa,Unisinos,CS
Dalvan Griebler,PUC-RS,CS
Daniel Fernando Tello Gamarra,UFSM,CS
Danilo Hernani Perico,FEI,CS
Dante Augusto Couto Barone,UFRGS,CS
David Oliveira Santos,UFCG,CS
Debora Muchaluat Saade,UFF,CS
Denis Fernando Wolf,ICMC/USP,CS
Diego Amancio,ICMC/USP,CS
Diego Nunes Bertolani,IFES,CS
Djamel Sadok,UFPE,ROBOTICS
Douglas Guimaraes Macharet,UFMG,ROBOTICS
Edison Pignaton de Freitas,UFRN,ROBOTICS
Edmundo Madeira,UNICAMP,CS
Edson Emilio Scalabrin,PUCPR,CS
Edson Matsubara,UFMS,CS
Edson Prestes e Silva,UFRGS,CS
Eduardo Feitosa,UFAM,CS
Eduardo Todt,UFPR,CS
Eduardo Viegas,PUCPR,CS
Eliane Martins,UNICAMP,CS
Elias Duarte,UFPR,CS
