J. Intelligent & Robotic Syst.,75
ACM Comput. Surveys,57
IEEE RA-L,21
Robotics & Autonomous Syst.,13
Robotica,12
Communications ACM,7
Comput. Stand. Interfaces,6
Autonomous Robots,4
Int. J. of Intelligent Robotics and Applications,4
IEEE Computer,3
J. Field Robotics,3
Intelligent Service Robotics,2
Swarm Intelligence,2
IEEE Robotics & Automation Mag.,1
IEEE/CAA Journal of Automatica Sinica,1
Cognitive Robotics,0
IEEE Trans. Mechatronics,0
IEEE Trans. Robotics,0
Intern. J. of Robotics Research,0
International Journal of Mechatronics and Automation,0
Journal of Robotics and Mechatronics,0
Journal of the Brazilian Society of Mechanical Sciences and Engineering,0
Mechatronics,0
Robotics and Computer-Integrated Manufacturing,0
